,N_star,D,R_hull,m_mean,m_m2,m_m3,m_m4,s_mean,s_m2,s_m3,s_m4
1101,545.0,1.026634386487434,2.8305576514152193,0.7152714548319894,1.6515487468971912,3.8748481722700334,6.3843719881791685,1.7756695325464165,0.9203247857068666,-0.5155745013243858,1.1054444118848008
1102,1805.0,1.3209980775597565,2.88156633359342,0.7665764287671532,1.0518932466931687,2.46218420638389,4.249734338851379,1.7854106322496466,0.901281795139518,-0.5374251360984837,1.0650604076776673
1103,1908.0,2.7641505557751787,3.825145685588599,2.450444953229644,1.2731589901335505,1.1504441849241551,1.780577945925559,1.79258517181312,0.886926379016726,0.5952852554818238,1.109604899264586
1104,1222.0,2.5646315929016295,3.666307901478254,2.2542792822369315,1.1675191183049258,1.0534884403574194,1.6202959538119492,1.7964507099833806,0.8790704446176105,0.5141622881123182,1.0830199704194903
1105,826.0,1.2351910309142806,3.0217179546906014,0.8308928547331683,1.2097219629122142,2.386113653015463,3.647629089988616,1.7717063101727524,0.927931436310921,0.4022909076622552,1.1231757287641833
1106,1313.0,2.594867782268401,3.9859639935391207,2.4493470584003703,1.3256026663977696,1.3190187040580703,1.9021064725172017,1.7936270342640532,0.88481753031749,0.6012192316690869,1.1108958043559998
1107,2214.0,2.1899461023431868,3.5682443569052316,2.0980484880136006,1.0877530703205225,1.0028639726208732,1.519254100466062,1.7973973901241644,0.8771331837154732,0.5160949799662918,1.0915225271471842
1108,1199.0,1.770594941222347,3.559327736878263,1.5859066741736239,0.9348293831613598,1.2136938522202998,1.8574574316171457,1.7794668776616362,0.9129609144454923,0.5331437433218534,1.1302891691343127
1109,1231.0,2.100972789532576,3.7186572506682967,2.115761816690095,1.1017654593421184,0.9862882586032568,1.5232421691037958,1.7875249882365518,0.8970810534338102,0.5777630882451504,1.111571714358895
1110,2357.0,2.2153536689239726,3.9406846727156952,2.1722656999989023,1.2335337644943658,1.2486264519441683,1.8483722807043113,1.7882414591513338,0.8956519880915307,0.5451981618523384,1.117230925783492
1111,3795.0,2.3759330584744704,3.991401482709694,2.193655304631808,1.1658213039613905,1.1670772016124287,1.743354949796189,1.7867516744076324,0.898620305803025,0.6155837224148848,1.130523234851991
