,ra,dec,parallax,parallax_error
261,70.294965,25.919786,6.377000000000001,0.254
262,70.320065,28.666591999999998,5.864,0.24600000000000002
263,70.411804,25.940678,6.2589999999999995,0.384
264,70.437108,23.030854,8.304,0.37799999999999995
265,70.44024499999999,23.03269,8.016,0.083
266,70.451073,25.575074,7.343999999999999,0.20199999999999999
267,70.5229,25.382203,8.138,0.391
268,70.532465,25.386556,6.245,0.485
269,70.587612,25.342778,7.343999999999999,0.12300000000000001
270,70.76284,25.338442999999998,6.917000000000001,0.048
271,70.834287,29.668253000000004,5.8420000000000005,0.124
272,71.00689100000001,16.358908,6.778,0.21899999999999997
273,71.113123,25.20448,7.091,0.136
274,71.22694,27.295785,5.954,0.231
275,71.318923,31.688871999999996,6.407,0.158
276,71.463782,15.930384,5.407,0.111
277,71.464017,15.926773,6.757000000000001,0.057
278,71.603379,17.028101,6.146,0.47600000000000003
279,71.677607,24.984167000000003,6.483,0.284
280,71.72109499999999,16.999981,5.065,0.052000000000000005
281,71.745738,17.043801000000002,5.8629999999999995,0.187
282,71.746223,17.044372,5.0280000000000005,0.066
283,71.77592,16.9785,5.111000000000001,0.065
284,71.952506,29.41967,6.287000000000001,0.044000000000000004
285,72.026424,15.856904,6.544,0.235
286,72.056242,29.414821999999997,6.407,0.066
287,72.09479300000001,29.772896000000003,6.199,0.064
288,72.174575,17.060288,4.723,0.23600000000000002
289,72.239413,29.231019,6.189,0.10400000000000001
290,72.241258,29.231769,4.977,0.366
291,72.342136,29.186634,6.091,0.5
292,72.66690799999999,16.329373,7.0360000000000005,0.102
293,72.94748,30.786986,6.426,0.059000000000000004
294,73.040449,30.629176,8.641,0.457
295,73.795775,30.366388,6.263999999999999,0.083
296,73.847234,30.460041999999998,6.05,0.18899999999999997
297,73.904062,30.298534999999998,6.263,0.079
298,73.918617,30.651456,6.359,0.121
299,73.938987,30.327353999999996,6.462000000000001,0.09699999999999999
300,73.94104499999999,30.551089,6.14,0.057
301,73.948257,30.468664,6.38,0.152
302,73.950115,30.467908,6.067,0.175
303,73.95086500000001,30.504321,6.199,0.09300000000000001
304,73.95099599999999,30.337807,5.593,0.126
305,73.95711,30.327676,6.388999999999999,0.18899999999999997
306,73.98488499999999,30.826953000000003,6.475,0.095
307,73.997465,30.566978999999996,6.314,0.059000000000000004
308,74.004974,30.442859000000002,6.303,0.369
309,74.00846999999999,30.350915999999998,6.729,0.124
310,74.199947,29.219728999999997,6.307,0.175
311,74.21424499999999,29.658556,6.769,0.18899999999999997
312,74.692796,29.843498999999998,6.181,0.076
313,74.714207,28.523225,6.8660000000000005,0.043
314,74.714589,28.523336999999998,7.125,0.24600000000000002
315,74.76271,30.049986999999998,6.388,0.040999999999999995
316,75.012883,30.019000000000002,6.261,0.07
317,75.013008,30.018347,5.9910000000000005,0.064
318,75.645156,27.763746,6.218,0.08
319,75.666107,24.992599,6.3260000000000005,0.084
320,75.777509,25.388704999999998,5.897,0.043
321,76.1725,25.165089000000002,5.856,0.08199999999999999
322,76.249577,31.750294,5.965,0.166
323,76.34509200000001,25.525151,5.819,0.08900000000000001
324,76.345713,25.525482,5.593,0.21
325,76.56981400000001,24.769413,5.218,0.22699999999999998
326,76.597252,24.538794,6.617999999999999,0.418
327,76.8003,24.62114,5.768,0.040999999999999995
328,76.912679,23.185113,6.051,0.083
329,76.95608100000001,30.401208,6.1160000000000005,0.067
330,76.95654300000001,30.401319,6.582999999999999,0.902
331,76.97904,25.004258,6.065,0.08800000000000001
332,77.029593,24.453346,5.5889999999999995,0.075
333,77.034154,24.454280999999998,5.745,0.154
334,78.114949,22.896918,3.668,0.413
